"Баг, хороо","Насны бүлэг","2024"
"Улсын дүн","0-4","337,907"
"Улсын дүн","5-9","386,055"
"Улсын дүн","10-14","364,855"
"Улсын дүн","15-19","270,257"
"Улсын дүн","20-24","207,588"
"Улсын дүн","25-29","221,938"
"Улсын дүн","30-34","259,701"
"Улсын дүн","35-39","286,727"
"Улсын дүн","40-44","237,533"
"Улсын дүн","45-49","210,700"
"Улсын дүн","50-54","185,432"
"Улсын дүн","55-59","154,331"
"Улсын дүн","60-64","130,625"
"Улсын дүн","65-69","85,606"
"Улсын дүн","70+","102,343"
"Баруун бүс","0-4","45,167"
"Баруун бүс","5-9","46,436"
"Баруун бүс","10-14","43,567"
"Баруун бүс","15-19","37,331"
"Баруун бүс","20-24","31,821"
"Баруун бүс","25-29","30,408"
"Баруун бүс","30-34","28,898"
"Баруун бүс","35-39","27,567"
"Баруун бүс","40-44","25,445"
"Баруун бүс","45-49","24,257"
"Баруун бүс","50-54","22,312"
"Баруун бүс","55-59","18,215"
"Баруун бүс","60-64","14,261"
"Баруун бүс","65-69","9,001"
"Баруун бүс","70+","10,890"
"Хангайн бүс","0-4","56,895"
"Хангайн бүс","5-9","63,340"
"Хангайн бүс","10-14","62,587"
"Хангайн бүс","15-19","50,055"
"Хангайн бүс","20-24","40,093"
"Хангайн бүс","25-29","40,497"
"Хангайн бүс","30-34","42,286"
"Хангайн бүс","35-39","44,592"
"Хангайн бүс","40-44","39,325"
"Хангайн бүс","45-49","37,842"
"Хангайн бүс","50-54","34,802"
"Хангайн бүс","55-59","29,905"
"Хангайн бүс","60-64","24,595"
"Хангайн бүс","65-69","15,255"
"Хангайн бүс","70+","18,448"
"Төвийн бүс","0-4","49,140"
"Төвийн бүс","5-9","55,513"
"Төвийн бүс","10-14","53,168"
"Төвийн бүс","15-19","41,570"
"Төвийн бүс","20-24","32,231"
"Төвийн бүс","25-29","32,587"
"Төвийн бүс","30-34","36,732"
"Төвийн бүс","35-39","40,820"
"Төвийн бүс","40-44","36,121"
"Төвийн бүс","45-49","33,000"
"Төвийн бүс","50-54","29,707"
"Төвийн бүс","55-59","25,445"
"Төвийн бүс","60-64","21,332"
"Төвийн бүс","65-69","13,949"
"Төвийн бүс","70+","16,306"
"Зүүн бүс","0-4","23,144"
"Зүүн бүс","5-9","25,534"
"Зүүн бүс","10-14","23,906"
"Зүүн бүс","15-19","18,305"
"Зүүн бүс","20-24","14,478"
"Зүүн бүс","25-29","14,459"
"Зүүн бүс","30-34","16,473"
"Зүүн бүс","35-39","17,373"
"Зүүн бүс","40-44","16,102"
"Зүүн бүс","45-49","14,800"
"Зүүн бүс","50-54","12,696"
"Зүүн бүс","55-59","10,559"
"Зүүн бүс","60-64","9,081"
"Зүүн бүс","65-69","6,306"
"Зүүн бүс","70+","6,796"
"Улаанбаатар","0-4","163,561"
"Улаанбаатар","5-9","195,232"
"Улаанбаатар","10-14","181,627"
"Улаанбаатар","15-19","122,996"
"Улаанбаатар","20-24","88,965"
"Улаанбаатар","25-29","103,987"
"Улаанбаатар","30-34","135,312"
"Улаанбаатар","35-39","156,375"
"Улаанбаатар","40-44","120,540"
"Улаанбаатар","45-49","100,801"
"Улаанбаатар","50-54","85,915"
"Улаанбаатар","55-59","70,207"
"Улаанбаатар","60-64","61,356"
"Улаанбаатар","65-69","41,095"
"Улаанбаатар","70+","49,903"
